Product Name,Product ID,Listing Price,Sale Price,Discount,Brands,Rating,Reviews,Brand,New Brands
Women's adidas Originals Sleek Super Shoes,EE4504,7999,4799,40,Adidas,2,65,Adidas ORIGINALS,1
Women's adidas Originals Taekwondo Team Shoes,EE4697,6599,3959,40,Adidas,3.8,3,Adidas ORIGINALS,1
Men's adidas Swim Gladi 19 Slippers,CM0044,1599,959,40,Adidas,4.7,74,Adidas CORE / NEO,1
Women's adidas Originals Supercourt Shoes,EE6045,7999,4799,40,Adidas,2,2,Adidas ORIGINALS,1
Women's adidas Originals Deerupt Runner Shoes,CG6091,9999,4999,50,Adidas,3.7,84,Adidas ORIGINALS,1
MEN'S ADIDAS ORIGINALS BOSTON SUPER X R1 SHOES,G27834,13999,6999,50,Adidas,3.6,34,Adidas ORIGINALS,1
Men's adidas Running Torik Shoes,CL7598,4799,2399,50,Adidas,3.9,54,Adidas CORE / NEO,1
Women's adidas Originals Sleek Shoes,EE4709,7599,4559,40,Adidas,2.8,49,Adidas ORIGINALS,1
Women's adidas Originals Marathon Tech Shoes,EE4948,11999,7199,40,Adidas,4.9,35,Adidas ORIGINALS,1
Women's adidas Sport Inspired Court 80s Shoes,EE9671,6999,4199,40,Adidas,2.4,48,Adidas CORE / NEO,1
Women's adidas Originals Sambarose Shoes,EE7046,7999,4799,40,Adidas,4.8,25,Adidas ORIGINALS,1
Women's adidas Sport Inspired Archivo Shoes,EF0451,4999,3499,30,Adidas,4.6,51,Adidas CORE / NEO,1
Women's adidas Originals U_Path X Shoes,EE4561,7599,4559,40,Adidas,3.9,12,Adidas ORIGINALS,1
Men's adidas Running Torik Shoes,CL7601,4799,2399,50,Adidas,3.7,51,Adidas CORE / NEO,1
Men's adidas Running Grito Shoes,CL7330,4799,2399,50,Adidas,3.8,31,Adidas CORE / NEO,1
Women's adidas Sport Inspired Glenn W Shoes,CM6625,2499,1749,30,Adidas,4.8,41,Adidas CORE / NEO,1
Women's adidas Originals Sleek Shoes,FV3395,7599,5319,30,Adidas,4.2,5,Adidas ORIGINALS,1
Women's adidas Originals Continental Vulc Shoes,EF9317,6599,3959,40,Adidas,3.7,78,Adidas ORIGINALS,1
Women's Originals Sleek Super Shoes,EF4954,7999,5599,30,Adidas,2.2,96,Adidas ORIGINALS,1
Women's adidas Originals Sleek Shoes,EE7104,7599,4559,40,Adidas,3.9,26,Adidas ORIGINALS,1
Women's adidas Originals Stan Smith Shoes,FV4070,7999,5599,30,Adidas,3.3,53,Adidas ORIGINALS,1
Women's adidas Originals Continental 80 Shoes,FV3918,8999,6299,30,Adidas,4.3,78,Adidas ORIGINALS,1
Women's adidas Originals Adilette Slides,EE5055,4999,2999,40,Adidas,2,90,Adidas ORIGINALS,1
Women's adidas Sport Inspired Glenn W Shoes,CM6626,2499,1749,30,Adidas,4.8,96,Adidas CORE / NEO,1
WOMEN'S ADIDAS ORIGINALS NMD_R1 STLT PRIMEKNIT SHOES,CQ2030,15999,7999,50,Adidas,4.7,82,Adidas ORIGINALS,1
Women's adidas Originals Sleek Shoes,EE5292,7599,4559,40,Adidas,3.6,69,Adidas ORIGINALS,1
Women's adidas Originals N-5923 Shoes,BD8041,7599,3799,50,Adidas,2.8,21,Adidas ORIGINALS,1
WOMEN'S ADIDAS ORIGINALS SWIFT RUN SHOES,B37719,7599,4559,40,Adidas,2.7,88,Adidas ORIGINALS,1
Women's adidas Originals Sleek Super Shoes,EE4505,7999,4799,40,Adidas,3.7,32,Adidas ORIGINALS,1
Women's adidas Swim Jung Slippers,CM0072,999,499,50,Adidas,3.2,20,Adidas CORE / NEO,1
Women's adidas Sport Inspired Questar Flow Shoes,EF0795,6599,3959,40,Adidas,2.9,44,Adidas CORE / NEO,1
Women's adidas Originals Forest Grove Shoes,EE5875,6599,3959,40,Adidas,1.5,69,Adidas ORIGINALS,1
Women's adidas Originals Marathon Tech Shoes,EE4947,11999,7199,40,Adidas,4.3,66,Adidas ORIGINALS,1
Women's adidas Sport Inspired Glenn W Shoes,CM6627,2499,1749,30,Adidas,3.4,65,Adidas CORE / NEO,1
