code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87491241;St-André-de-Cubzac;N;O;500000;2;590+674;SAINT-ANDRÉ-DE-CUBZAC;GIRONDE;6367;d9a3159c-6667-11e3-89ff-01f464e0362d;428972.8219999969;6438323.608600002;-0.439993851853121;44.99099671694959;44.99099671694959,-0.4399938518531206;44.9909967169,-0.439993851853;"{""coordinates"": [-0.439993851853123, 44.99099671692998], ""type"": ""Point""}"
87382218;La Défense;N;O;973000;1;008+295;PUTEAUX;HAUTS-DE-SEINE;4648;c0d4c69a-f312-11e3-90ff-015864e0362d;644164.1872999966;6866205.721500002;2.238471684534599;48.89343723770491;48.89343723770491,2.2384716845345993;48.8934372377,2.23847168453;"{""coordinates"": [2.238471684534598, 48.893437237683024], ""type"": ""Point""}"
87694364;St-Léger-sur-Dheune;N;O;760000;1;149+297;SAINT-LÉGER-SUR-DHEUNE;SAONE-ET-LOIRE;6545;c0b7c83a-f312-11e3-90ff-015864e0362d;824077.9737000018;6639975.423900001;4.628441766449198;46.848425175627916;46.848425175627916,4.628441766449198;46.8484251756,4.62844176645;"{""coordinates"": [4.628441766449197, 46.84842517561363], ""type"": ""Point""}"
87784561;Ille-sur-Têt;N;O;679000;1;489+407;ILLE-SUR-TÊT;PYRENEES-ORIENTALES;4483;c10352a8-f312-11e3-90ff-015864e0362d;669155.1020999998;6174359.406800002;2.62421294273941;42.668211445185555;42.668211445185555,2.6242129427394096;42.6682114452,2.62421294274;"{""coordinates"": [2.624212942739409, 42.66821144516015], ""type"": ""Point""}"
87718239;Lons-le-Saunier;O;O;880000;1;441+683;LONS-LE-SAUNIER;JURA;5226;e03333b0-19bf-11e5-82ff-01fc64e0362d;894964.9519999996;6621846.2190000005;5.550572824137999;46.66835586803146;46.66835586803146,5.550572824137999;46.668355868,5.55057282414;"{""coordinates"": [5.550572824137999, 46.668355868016654], ""type"": ""Point""}"
87175828;Pagny-sur-Meuse;O;O;070000;1;307+863;PAGNY-SUR-MEUSE;MEUSE;5902;d9b1a74e-6667-11e3-89ff-01f464e0362d;901173.2207999974;6847544.7775;5.733919080028878;48.696703195175445;48.696703195175445,5.733919080028878;48.6967031952,5.73391908003;"{""coordinates"": [5.73391908002888, 48.69670319515255], ""type"": ""Point""}"
87276055;Ermont-Eaubonne;N;O;962000;1;021+210;EAUBONNE;VAL-D'OISE;4067;d9d2eec8-6667-11e3-89ff-01f464e0362d;646945.7608999982;6875868.417199999;2.275196923032513;48.9805610579189;48.9805610579189,2.275196923032513;48.9805610579,2.27519692303;"{""coordinates"": [2.275196923032512, 48.98056105789744], ""type"": ""Point""}"
87613174;Dégagnac;N;O;590000;2;571+787;DÉGAGNAC;LOT;3930;e01c768e-19bf-11e5-82ff-01fc64e0362d;568438.2067999989;6396239.933800001;1.340582050561411;44.65282088518395;44.65282088518395,1.3405820505614112;44.6528208852,1.34058205056;"{""coordinates"": [1.34058205056141, 44.652820885163386], ""type"": ""Point""}"
87415661;Pont-de-l'Arche;O;O;340000;1;118+961;ALIZAY;EURE;6070;c0862800-f312-11e3-90ff-015864e0362d;566172.7026999965;6914595.3257;1.159660444556483;49.316910719160795;49.316910719160795,1.1596604445564827;49.3169107191,1.15966044456;"{""coordinates"": [1.159660444556481, 49.31691071914102], ""type"": ""Point""}"
87116640;Crouy-sur-Ourcq;N;O;072000;1;068+484;CROUY-SUR-OURCQ;SEINE-ET-MARNE;3895;28f4495c-dfbc-11e3-a2ff-01a464e0362d;704597.4737000018;6887978.1752;3.062942239102605;49.09162143666499;49.09162143666499,3.0629422391026053;49.0916214366,3.0629422391;"{""coordinates"": [3.062942239102604, 49.09162143664409], ""type"": ""Point""}"
